Year,Baseline,JET SDG,SDG Push
2019,0.875,0.875,0.875
2020,0.919,0.919,0.919
2021,0.964,0.964,0.964
2022,1.009,1.009,1.009
2023,1.055,1.055,1.055
2024,1.1,1.1,1.1
2025,1.145,1.145,1.145
2026,1.189,1.188,1.189
2027,1.233,1.23,1.233
2028,1.277,1.269,1.277
2029,1.322,1.306,1.322
2030,1.367,1.341,1.366
2031,1.411,1.372,1.411
2032,1.456,1.402,1.456
2033,1.5,1.43,1.5
2034,1.544,1.456,1.544
2035,1.587,1.48,1.588
2036,1.63,1.503,1.631
2037,1.672,1.525,1.674
2038,1.713,1.545,1.716
2039,1.754,1.564,1.757
2040,1.795,1.581,1.798
2041,1.835,1.596,1.839
2042,1.875,1.609,1.88
2043,1.915,1.62,1.92
2044,1.954,1.629,1.96
2045,1.992,1.637,1.999
2046,2.03,1.643,2.038
2047,2.067,1.647,2.076
2048,2.104,1.65,2.113
2049,2.14,1.652,2.15
2050,2.175,1.653,2.187
2051,2.21,1.653,2.223
2052,2.245,1.652,2.258
2053,2.278,1.651,2.293
2054,2.312,1.649,2.328
2055,2.344,1.647,2.361
2056,2.376,1.643,2.395
2057,2.408,1.64,2.427
2058,2.439,1.635,2.459
2059,2.469,1.63,2.49
2060,2.499,1.624,2.521
2061,2.528,1.617,2.551
2062,2.556,1.609,2.581
2063,2.584,1.6,2.61
2064,2.612,1.591,2.638
2065,2.638,1.58,2.666
2066,2.665,1.57,2.693
2067,2.69,1.558,2.72
2068,2.715,1.546,2.746
2069,2.739,1.534,2.772
2070,2.763,1.521,2.797
2071,2.785,1.508,2.822
2072,2.808,1.494,2.845
2073,2.829,1.48,2.868
2074,2.85,1.466,2.891
2075,2.87,1.452,2.913
2076,2.889,1.437,2.934
2077,2.908,1.422,2.955
2078,2.926,1.407,2.975
2079,2.943,1.391,2.995
2080,2.96,1.375,3.014
2081,2.976,1.359,3.032
2082,2.992,1.342,3.05
2083,3.007,1.326,3.068
2084,3.022,1.309,3.085
2085,3.036,1.291,3.101
2086,3.05,1.274,3.117
2087,3.063,1.256,3.132
2088,3.076,1.238,3.147
2089,3.088,1.219,3.162
2090,3.099,1.201,3.176
2091,3.11,1.182,3.189
2092,3.121,1.163,3.202
2093,3.131,1.143,3.215
2094,3.141,1.124,3.228
2095,3.151,1.104,3.24
2096,3.16,1.084,3.251
2097,3.168,1.064,3.262
2098,3.176,1.043,3.273
2099,3.184,1.023,3.283
2100,3.191,1.003,3.292
